"doc_id","trained_score"
"1168",80.0
"1169",86.67
"117",100.0
"1170",90.91
"1171",87.5
"1172",93.75
"1173",90.0
"1174",100.0
"1175",84.62
"1176",87.5
"1177",72.73
"118",100.0
"1180",94.12
"1181",84.21
"1182",90.91
"1183",87.5
"1184",88.89
"1185",100.0
"1186",80.58
"1187",83.33
"1188",85.71
"1189",100.0
"119",83.33
"1190",100.0
"1191",100.0
"1192",100.0
"1193",100.0
"1194",100.0
"1195",83.33
"1196",90.91
"1199",75.0
"12",89.09
"120",92.54
"1200",100.0
"1201",100.0
"1202",100.0
"1205",90.0
"1206",91.67
"1207",80.0
"1208",100.0
"1209",83.33
"121",80.91
"1210",83.33
"1211",90.91
"1212",91.67
"1213",90.0
"1214",50.0
"1215",11.11
"1216",87.5
"1217",89.47
"1218",89.47
"1219",66.67
"122",62.96
"1220",100.0
"1221",85.71
"1222",100.0
"1223",84.62
"1224",85.71
"1225",87.5
"1226",64.71
"1227",83.33
"1228",92.86
"1229",100.0
"1230",83.33
"1231",50.0
"1232",80.0
"1233",85.9
"1234",66.67
"1235",89.47
"1236",83.33
"1237",83.33
"1238",91.67
"1239",72.73
"124",100.0
"1240",83.33
"1241",100.0
"1242",100.0
"1243",100.0
"1244",80.22
"1246",86.27
"1247",72.73
"1248",100.0
"1249",100.0
"125",100.0
"1250",100.0
"1251",83.33
"1252",100.0
"1253",100.0
"1254",92.31
"1255",100.0
"1256",100.0
"1257",100.0
"1258",81.48
"1259",95.08
"126",100.0
"1260",77.78
"1261",80.0
"1262",90.0
"1263",88.89
"1264",98.9
"127",100.0
"1277",82.86
"128",100.0
"1280",91.67
"1282",92.31
"1284",93.75
"129",100.0
"1297",94.64
"13",92.31
"130",80.0
"1302",88.89
"1303",44.44
"1304",100.0
"1305",100.0
"1306",100.0
"1307",100.0
"1308",100.0
"1309",90.91
"131",100.0
"1310",75.0
"1311",80.95
"1312",98.04
"1315",87.5
"1316",87.5
"1317",70.0
"1319",100.0
"132",79.66
"1321",77.78
"1323",77.78
"1324",57.14
"1325",62.5
"1326",74.71
"1327",100.0
"1328",98.51
"1329",90.91
"133",91.67
"1330",100.0
"1331",100.0
"1332",93.24
"1333",91.78
"1334",72.73
"1335",91.8
"1336",100.0
"134",93.75
"1341",87.5
"1342",85.71
"1343",92.86
"1344",81.25
"1345",80.0
"1346",81.82
"1347",70.0
"135",95.16
"1351",100.0
"1352",37.5
"1353",100.0
"1354",77.78
"136",84.76
"1360",96.88
"1362",91.67
"1363",83.33
"1364",96.39
"1366",81.82
"1367",91.67
"1368",86.23
"137",100.0
"1374",87.5
"1375",85.71
"1376",40.0
"1377",77.78
"138",98.55
"1380",80.0
"1383",0.0
"1384",0.0
"139",82.54
"1392",66.67
"1393",80.0
